Answer,Difficulty,QuestionId,QuestionText,TopicId,Type
"Ihan vitusti, Tiheys pt 2!",3,48_2,Tiheys kaltainen on,48,flashcard
"Ihan vitusti, Tiheys pt 3!",4,48_3,Paljonko Tiheys painaa?,48,OpenEnded
"Ihan vitusti, Tiheys pt 4!",5,48_4,Montako Tiheys saa markalla?,48,OpenEnded
"Ihan vitusti, Reaktiosarja pt 0!",1,49_0,Reaktiosarja on...,49,flashcard
"Ihan vitusti, Reaktiosarja pt 1!",2,49_1,Reaktiosarja ei ole...,49,flashcard
"Ihan vitusti, Reaktiosarja pt 2!",3,49_2,Reaktiosarja kaltainen on,49,flashcard
"Ihan vitusti, Reaktiosarja pt 3!",4,49_3,Paljonko Reaktiosarja painaa?,49,OpenEnded
"Ihan vitusti, Reaktiosarja pt 4!",5,49_4,Montako Reaktiosarja saa markalla?,49,OpenEnded
"Ihan vitusti, Tislaus & kromatografia pt 0!",1,50_0,Tislaus & kromatografia on...,50,flashcard
"Ihan vitusti, Tislaus & kromatografia pt 1!",2,50_1,Tislaus & kromatografia ei ole...,50,flashcard
"Ihan vitusti, Tislaus & kromatografia pt 2!",3,50_2,Tislaus & kromatografia kaltainen on,50,flashcard
"Ihan vitusti, Tislaus & kromatografia pt 3!",4,50_3,Paljonko Tislaus & kromatografia painaa?,50,OpenEnded
"Ihan vitusti, Tislaus & kromatografia pt 4!",5,50_4,Montako Tislaus & kromatografia saa markalla?,50,OpenEnded
"Ihan vitusti, Reaktioyhtälön tasapainottaminen pt 0!",1,51_0,Reaktioyhtälön tasapainottaminen on...,51,flashcard
"Ihan vitusti, Reaktioyhtälön tasapainottaminen pt 1!",2,51_1,Reaktioyhtälön tasapainottaminen ei ole...,51,flashcard
"Ihan vitusti, Reaktioyhtälön tasapainottaminen pt 2!",3,51_2,Reaktioyhtälön tasapainottaminen kaltainen on,51,flashcard
"Ihan vitusti, Reaktioyhtälön tasapainottaminen pt 3!",4,51_3,Paljonko Reaktioyhtälön tasapainottaminen painaa?,51,OpenEnded
"Ihan vitusti, Reaktioyhtälön tasapainottaminen pt 4!",5,51_4,Montako Reaktioyhtälön tasapainottaminen saa markalla?,51,OpenEnded
"Ihan vitusti, Yhteyttäminen pt 0!",1,52_0,Yhteyttäminen on...,52,flashcard
"Ihan vitusti, Yhteyttäminen pt 1!",2,52_1,Yhteyttäminen ei ole...,52,flashcard
"Ihan vitusti, Yhteyttäminen pt 2!",3,52_2,Yhteyttäminen kaltainen on,52,flashcard
"Ihan vitusti, Yhteyttäminen pt 3!",4,52_3,Paljonko Yhteyttäminen painaa?,52,OpenEnded
"Ihan vitusti, Yhteyttäminen pt 4!",5,52_4,Montako Yhteyttäminen saa markalla?,52,OpenEnded
"Ihan vitusti, Suhdekaava pt 0!",1,53_0,Suhdekaava on...,53,flashcard
"Ihan vitusti, Suhdekaava pt 1!",2,53_1,Suhdekaava ei ole...,53,flashcard
"Ihan vitusti, Suhdekaava pt 2!",3,53_2,Suhdekaava kaltainen on,53,flashcard
"Ihan vitusti, Suhdekaava pt 3!",4,53_3,Paljonko Suhdekaava painaa?,53,OpenEnded
"Ihan vitusti, Suhdekaava pt 4!",5,53_4,Montako Suhdekaava saa markalla?,53,OpenEnded
"Ihan vitusti, Entalpia pt 0!",1,54_0,Entalpia on...,54,flashcard
"Ihan vitusti, Entalpia pt 1!",2,54_1,Entalpia ei ole...,54,flashcard
"Ihan vitusti, Entalpia pt 2!",3,54_2,Entalpia kaltainen on,54,flashcard
"Ihan vitusti, Entalpia pt 3!",4,54_3,Paljonko Entalpia painaa?,54,OpenEnded
"Ihan vitusti, Entalpia pt 4!",5,54_4,Montako Entalpia saa markalla?,54,OpenEnded
"Ihan vitusti, Perusmuodostumislämpö (entalpia) pt 0!",1,55_0,Perusmuodostumislämpö (entalpia) on...,55,flashcard
"Ihan vitusti, Perusmuodostumislämpö (entalpia) pt 1!",2,55_1,Perusmuodostumislämpö (entalpia) ei ole...,55,flashcard
"Ihan vitusti, Perusmuodostumislämpö (entalpia) pt 2!",3,55_2,Perusmuodostumislämpö (entalpia) kaltainen on,55,flashcard
"Ihan vitusti, Perusmuodostumislämpö (entalpia) pt 3!",4,55_3,Paljonko Perusmuodostumislämpö (entalpia) painaa?,55,OpenEnded
"Ihan vitusti, Perusmuodostumislämpö (entalpia) pt 4!",5,55_4,Montako Perusmuodostumislämpö (entalpia) saa markalla?,55,OpenEnded
"Ihan vitusti, Hessin laki pt 0!",1,56_0,Hessin laki on...,56,flashcard
"Ihan vitusti, Hessin laki pt 1!",2,56_1,Hessin laki ei ole...,56,flashcard
"Ihan vitusti, Hessin laki pt 2!",3,56_2,Hessin laki kaltainen on,56,flashcard
"Ihan vitusti, Hessin laki pt 3!",4,56_3,Paljonko Hessin laki painaa?,56,OpenEnded
"Ihan vitusti, Hessin laki pt 4!",5,56_4,Montako Hessin laki saa markalla?,56,OpenEnded
"Ihan vitusti, Sidosenergia (entalpia) pt 0!",1,57_0,Sidosenergia (entalpia) on...,57,flashcard
"Ihan vitusti, Sidosenergia (entalpia) pt 1!",2,57_1,Sidosenergia (entalpia) ei ole...,57,flashcard
"Ihan vitusti, Sidosenergia (entalpia) pt 2!",3,57_2,Sidosenergia (entalpia) kaltainen on,57,flashcard
"Ihan vitusti, Sidosenergia (entalpia) pt 3!",4,57_3,Paljonko Sidosenergia (entalpia) painaa?,57,OpenEnded
"Ihan vitusti, Sidosenergia (entalpia) pt 4!",5,57_4,Montako Sidosenergia (entalpia) saa markalla?,57,OpenEnded
"Ihan vitusti, Entropia pt 0!",1,58_0,Entropia on...,58,flashcard
"Ihan vitusti, Entropia pt 1!",2,58_1,Entropia ei ole...,58,flashcard
"Ihan vitusti, Entropia pt 2!",3,58_2,Entropia kaltainen on,58,flashcard
"Ihan vitusti, Entropia pt 3!",4,58_3,Paljonko Entropia painaa?,58,OpenEnded
"Ihan vitusti, Entropia pt 4!",5,58_4,Montako Entropia saa markalla?,58,OpenEnded
"Ihan vitusti, Gibbsin energia pt 0!",1,59_0,Gibbsin energia on...,59,flashcard
"Ihan vitusti, Gibbsin energia pt 1!",2,59_1,Gibbsin energia ei ole...,59,flashcard
"Ihan vitusti, Gibbsin energia pt 2!",3,59_2,Gibbsin energia kaltainen on,59,flashcard
"Ihan vitusti, Gibbsin energia pt 3!",4,59_3,Paljonko Gibbsin energia painaa?,59,OpenEnded
"Ihan vitusti, Gibbsin energia pt 4!",5,59_4,Montako Gibbsin energia saa markalla?,59,OpenEnded
"Ihan vitusti, Aktivaatioenergia pt 0!",1,60_0,Aktivaatioenergia on...,60,flashcard
"Ihan vitusti, Aktivaatioenergia pt 1!",2,60_1,Aktivaatioenergia ei ole...,60,flashcard
"Ihan vitusti, Aktivaatioenergia pt 2!",3,60_2,Aktivaatioenergia kaltainen on,60,flashcard
"Ihan vitusti, Aktivaatioenergia pt 3!",4,60_3,Paljonko Aktivaatioenergia painaa?,60,OpenEnded
"Ihan vitusti, Aktivaatioenergia pt 4!",5,60_4,Montako Aktivaatioenergia saa markalla?,60,OpenEnded
"Ihan vitusti, Hapetusluku pt 0!",1,61_0,Hapetusluku on...,61,flashcard
"Ihan vitusti, Hapetusluku pt 1!",2,61_1,Hapetusluku ei ole...,61,flashcard
"Ihan vitusti, Hapetusluku pt 2!",3,61_2,Hapetusluku kaltainen on,61,flashcard
"Ihan vitusti, Hapetusluku pt 3!",4,61_3,Paljonko Hapetusluku painaa?,61,OpenEnded
"Ihan vitusti, Hapetusluku pt 4!",5,61_4,Montako Hapetusluku saa markalla?,61,OpenEnded
"Ihan vitusti, Harjoituksia hapetusluvuilla pt 0!",1,62_0,Harjoituksia hapetusluvuilla on...,62,flashcard
"Ihan vitusti, Harjoituksia hapetusluvuilla pt 1!",2,62_1,Harjoituksia hapetusluvuilla ei ole...,62,flashcard
"Ihan vitusti, Harjoituksia hapetusluvuilla pt 2!",3,62_2,Harjoituksia hapetusluvuilla kaltainen on,62,flashcard
"Ihan vitusti, Harjoituksia hapetusluvuilla pt 3!",4,62_3,Paljonko Harjoituksia hapetusluvuilla painaa?,62,OpenEnded
"Ihan vitusti, Harjoituksia hapetusluvuilla pt 4!",5,62_4,Montako Harjoituksia hapetusluvuilla saa markalla?,62,OpenEnded
"Ihan vitusti, Saostuminen ja hajoaminen pt 0!",1,63_0,Saostuminen ja hajoaminen on...,63,flashcard
"Ihan vitusti, Saostuminen ja hajoaminen pt 1!",2,63_1,Saostuminen ja hajoaminen ei ole...,63,flashcard
"Ihan vitusti, Saostuminen ja hajoaminen pt 2!",3,63_2,Saostuminen ja hajoaminen kaltainen on,63,flashcard
"Ihan vitusti, Saostuminen ja hajoaminen pt 3!",4,63_3,Paljonko Saostuminen ja hajoaminen painaa?,63,OpenEnded
"Ihan vitusti, Saostuminen ja hajoaminen pt 4!",5,63_4,Montako Saostuminen ja hajoaminen saa markalla?,63,OpenEnded
"Ihan vitusti, Kompleksinmuodostusreaktio pt 0!",1,64_0,Kompleksinmuodostusreaktio on...,64,flashcard
"Ihan vitusti, Kompleksinmuodostusreaktio pt 1!",2,64_1,Kompleksinmuodostusreaktio ei ole...,64,flashcard
"Ihan vitusti, Kompleksinmuodostusreaktio pt 2!",3,64_2,Kompleksinmuodostusreaktio kaltainen on,64,flashcard
"Ihan vitusti, Kompleksinmuodostusreaktio pt 3!",4,64_3,Paljonko Kompleksinmuodostusreaktio painaa?,64,OpenEnded
"Ihan vitusti, Kompleksinmuodostusreaktio pt 4!",5,64_4,Montako Kompleksinmuodostusreaktio saa markalla?,64,OpenEnded
"Ihan vitusti, Liittymisreaktio (additioreaktio) pt 0!",1,65_0,Liittymisreaktio (additioreaktio) on...,65,flashcard
"Ihan vitusti, Liittymisreaktio (additioreaktio) pt 1!",2,65_1,Liittymisreaktio (additioreaktio) ei ole...,65,flashcard
"Ihan vitusti, Liittymisreaktio (additioreaktio) pt 2!",3,65_2,Liittymisreaktio (additioreaktio) kaltainen on,65,flashcard
"Ihan vitusti, Liittymisreaktio (additioreaktio) pt 3!",4,65_3,Paljonko Liittymisreaktio (additioreaktio) painaa?,65,OpenEnded
"Ihan vitusti, Liittymisreaktio (additioreaktio) pt 4!",5,65_4,Montako Liittymisreaktio (additioreaktio) saa markalla?,65,OpenEnded
"Ihan vitusti, Korvautumisreaktio (substituutioreaktio) pt 0!",1,66_0,Korvautumisreaktio (substituutioreaktio) on...,66,flashcard
"Ihan vitusti, Korvautumisreaktio (substituutioreaktio) pt 1!",2,66_1,Korvautumisreaktio (substituutioreaktio) ei ole...,66,flashcard
"Ihan vitusti, Korvautumisreaktio (substituutioreaktio) pt 2!",3,66_2,Korvautumisreaktio (substituutioreaktio) kaltainen on,66,flashcard
"Ihan vitusti, Korvautumisreaktio (substituutioreaktio) pt 3!",4,66_3,Paljonko Korvautumisreaktio (substituutioreaktio) painaa?,66,OpenEnded
"Ihan vitusti, Korvautumisreaktio (substituutioreaktio) pt 4!",5,66_4,Montako Korvautumisreaktio (substituutioreaktio) saa markalla?,66,OpenEnded
"Ihan vitusti, Hapettuminen (org. kemia) pt 0!",1,67_0,Hapettuminen (org. kemia) on...,67,flashcard
"Ihan vitusti, Hapettuminen (org. kemia) pt 1!",2,67_1,Hapettuminen (org. kemia) ei ole...,67,flashcard
"Ihan vitusti, Hapettuminen (org. kemia) pt 2!",3,67_2,Hapettuminen (org. kemia) kaltainen on,67,flashcard
"Ihan vitusti, Hapettuminen (org. kemia) pt 3!",4,67_3,Paljonko Hapettuminen (org. kemia) painaa?,67,OpenEnded
"Ihan vitusti, Hapettuminen (org. kemia) pt 4!",5,67_4,Montako Hapettuminen (org. kemia) saa markalla?,67,OpenEnded
"Ihan vitusti, Happo-emäsreaktiot (org. kemia) pt 0!",1,68_0,Happo-emäsreaktiot (org. kemia) on...,68,flashcard
"Ihan vitusti, Happo-emäsreaktiot (org. kemia) pt 1!",2,68_1,Happo-emäsreaktiot (org. kemia) ei ole...,68,flashcard
"Ihan vitusti, Happo-emäsreaktiot (org. kemia) pt 2!",3,68_2,Happo-emäsreaktiot (org. kemia) kaltainen on,68,flashcard
"Ihan vitusti, Happo-emäsreaktiot (org. kemia) pt 3!",4,68_3,Paljonko Happo-emäsreaktiot (org. kemia) painaa?,68,OpenEnded
"Ihan vitusti, Happo-emäsreaktiot (org. kemia) pt 4!",5,68_4,Montako Happo-emäsreaktiot (org. kemia) saa markalla?,68,OpenEnded
"Ihan vitusti, Sähkökemia pt 0!",1,69_0,Sähkökemia on...,69,flashcard
"Ihan vitusti, Sähkökemia pt 1!",2,69_1,Sähkökemia ei ole...,69,flashcard
"Ihan vitusti, Sähkökemia pt 2!",3,69_2,Sähkökemia kaltainen on,69,flashcard
"Ihan vitusti, Sähkökemia pt 3!",4,69_3,Paljonko Sähkökemia painaa?,69,OpenEnded
"Ihan vitusti, Sähkökemia pt 4!",5,69_4,Montako Sähkökemia saa markalla?,69,OpenEnded
"Ihan vitusti, Kennokaaviot pt 0!",1,70_0,Kennokaaviot on...,70,flashcard
"Ihan vitusti, Kennokaaviot pt 1!",2,70_1,Kennokaaviot ei ole...,70,flashcard
"Ihan vitusti, Kennokaaviot pt 2!",3,70_2,Kennokaaviot kaltainen on,70,flashcard
"Ihan vitusti, Kennokaaviot pt 3!",4,70_3,Paljonko Kennokaaviot painaa?,70,OpenEnded
"Ihan vitusti, Kennokaaviot pt 4!",5,70_4,Montako Kennokaaviot saa markalla?,70,OpenEnded
"Ihan vitusti, Normaalipotentiaali pt 0!",1,71_0,Normaalipotentiaali on...,71,flashcard
"Ihan vitusti, Normaalipotentiaali pt 1!",2,71_1,Normaalipotentiaali ei ole...,71,flashcard
"Ihan vitusti, Normaalipotentiaali pt 2!",3,71_2,Normaalipotentiaali kaltainen on,71,flashcard
"Ihan vitusti, Normaalipotentiaali pt 3!",4,71_3,Paljonko Normaalipotentiaali painaa?,71,OpenEnded
"Ihan vitusti, Normaalipotentiaali pt 4!",5,71_4,Montako Normaalipotentiaali saa markalla?,71,OpenEnded
"Ihan vitusti, Jalometallien hapettuminen pt 0!",1,72_0,Jalometallien hapettuminen on...,72,flashcard
"Ihan vitusti, Jalometallien hapettuminen pt 1!",2,72_1,Jalometallien hapettuminen ei ole...,72,flashcard
"Ihan vitusti, Jalometallien hapettuminen pt 2!",3,72_2,Jalometallien hapettuminen kaltainen on,72,flashcard
"Ihan vitusti, Jalometallien hapettuminen pt 3!",4,72_3,Paljonko Jalometallien hapettuminen painaa?,72,OpenEnded
"Ihan vitusti, Jalometallien hapettuminen pt 4!",5,72_4,Montako Jalometallien hapettuminen saa markalla?,72,OpenEnded
"Ihan vitusti, Ruostuminen pt 0!",1,73_0,Ruostuminen on...,73,flashcard
"Ihan vitusti, Ruostuminen pt 1!",2,73_1,Ruostuminen ei ole...,73,flashcard
"Ihan vitusti, Ruostuminen pt 2!",3,73_2,Ruostuminen kaltainen on,73,flashcard
"Ihan vitusti, Ruostuminen pt 3!",4,73_3,Paljonko Ruostuminen painaa?,73,OpenEnded
"Ihan vitusti, Ruostuminen pt 4!",5,73_4,Montako Ruostuminen saa markalla?,73,OpenEnded
"Ihan vitusti, Elektrolyysi pt 0!",1,74_0,Elektrolyysi on...,74,flashcard
"Ihan vitusti, Elektrolyysi pt 1!",2,74_1,Elektrolyysi ei ole...,74,flashcard
"Ihan vitusti, Elektrolyysi pt 2!",3,74_2,Elektrolyysi kaltainen on,74,flashcard
"Ihan vitusti, Elektrolyysi pt 3!",4,74_3,Paljonko Elektrolyysi painaa?,74,OpenEnded
"Ihan vitusti, Elektrolyysi pt 4!",5,74_4,Montako Elektrolyysi saa markalla?,74,OpenEnded
"Ihan vitusti, Veden elektrolyysi pt 0!",1,75_0,Veden elektrolyysi on...,75,flashcard
"Ihan vitusti, Veden elektrolyysi pt 1!",2,75_1,Veden elektrolyysi ei ole...,75,flashcard
"Ihan vitusti, Veden elektrolyysi pt 2!",3,75_2,Veden elektrolyysi kaltainen on,75,flashcard
"Ihan vitusti, Veden elektrolyysi pt 3!",4,75_3,Paljonko Veden elektrolyysi painaa?,75,OpenEnded
"Ihan vitusti, Veden elektrolyysi pt 4!",5,75_4,Montako Veden elektrolyysi saa markalla?,75,OpenEnded
"Ihan vitusti, Elektrolyysilasku pt 0!",1,76_0,Elektrolyysilasku on...,76,flashcard
"Ihan vitusti, Elektrolyysilasku pt 1!",2,76_1,Elektrolyysilasku ei ole...,76,flashcard
"Ihan vitusti, Elektrolyysilasku pt 2!",3,76_2,Elektrolyysilasku kaltainen on,76,flashcard
"Ihan vitusti, Elektrolyysilasku pt 3!",4,76_3,Paljonko Elektrolyysilasku painaa?,76,OpenEnded
"Ihan vitusti, Elektrolyysilasku pt 4!",5,76_4,Montako Elektrolyysilasku saa markalla?,76,OpenEnded
"Ihan vitusti, Nernstin yhtälö pt 0!",1,77_0,Nernstin yhtälö on...,77,flashcard
"Ihan vitusti, Nernstin yhtälö pt 1!",2,77_1,Nernstin yhtälö ei ole...,77,flashcard
"Ihan vitusti, Nernstin yhtälö pt 2!",3,77_2,Nernstin yhtälö kaltainen on,77,flashcard
"Ihan vitusti, Nernstin yhtälö pt 3!",4,77_3,Paljonko Nernstin yhtälö painaa?,77,OpenEnded
"Ihan vitusti, Nernstin yhtälö pt 4!",5,77_4,Montako Nernstin yhtälö saa markalla?,77,OpenEnded
"Ihan vitusti, Titraus pt 0!",1,78_0,Titraus on...,78,flashcard
"Ihan vitusti, Titraus pt 1!",2,78_1,Titraus ei ole...,78,flashcard
"Ihan vitusti, Titraus pt 2!",3,78_2,Titraus kaltainen on,78,flashcard
"Ihan vitusti, Titraus pt 3!",4,78_3,Paljonko Titraus painaa?,78,OpenEnded
"Ihan vitusti, Titraus pt 4!",5,78_4,Montako Titraus saa markalla?,78,OpenEnded
"Ihan vitusti, Hapettuminen/pelkistyminen (org. kemia) pt 0!",1,79_0,Hapettuminen/pelkistyminen (org. kemia) on...,79,flashcard
"Ihan vitusti, Hapettuminen/pelkistyminen (org. kemia) pt 1!",2,79_1,Hapettuminen/pelkistyminen (org. kemia) ei ole...,79,flashcard
"Ihan vitusti, Hapettuminen/pelkistyminen (org. kemia) pt 2!",3,79_2,Hapettuminen/pelkistyminen (org. kemia) kaltainen on,79,flashcard
"Ihan vitusti, Hapettuminen/pelkistyminen (org. kemia) pt 3!",4,79_3,Paljonko Hapettuminen/pelkistyminen (org. kemia) painaa?,79,OpenEnded
"Ihan vitusti, Hapettuminen/pelkistyminen (org. kemia) pt 4!",5,79_4,Montako Hapettuminen/pelkistyminen (org. kemia) saa markalla?,79,OpenEnded
"Ihan vitusti, Polymeerit pt 0!",1,80_0,Polymeerit on...,80,flashcard
"Ihan vitusti, Polymeerit pt 1!",2,80_1,Polymeerit ei ole...,80,flashcard
"Ihan vitusti, Polymeerit pt 2!",3,80_2,Polymeerit kaltainen on,80,flashcard
"Ihan vitusti, Polymeerit pt 3!",4,80_3,Paljonko Polymeerit painaa?,80,OpenEnded
"Ihan vitusti, Polymeerit pt 4!",5,80_4,Montako Polymeerit saa markalla?,80,OpenEnded
"Ihan vitusti, Grafeeni pt 0!",1,81_0,Grafeeni on...,81,flashcard
"Ihan vitusti, Grafeeni pt 1!",2,81_1,Grafeeni ei ole...,81,flashcard
"Ihan vitusti, Grafeeni pt 2!",3,81_2,Grafeeni kaltainen on,81,flashcard
"Ihan vitusti, Grafeeni pt 3!",4,81_3,Paljonko Grafeeni painaa?,81,OpenEnded
"Ihan vitusti, Grafeeni pt 4!",5,81_4,Montako Grafeeni saa markalla?,81,OpenEnded
"Ihan vitusti, Reaktiotasapaino pt 0!",1,82_0,Reaktiotasapaino on...,82,flashcard
"Ihan vitusti, Reaktiotasapaino pt 1!",2,82_1,Reaktiotasapaino ei ole...,82,flashcard
"Ihan vitusti, Reaktiotasapaino pt 2!",3,82_2,Reaktiotasapaino kaltainen on,82,flashcard
"Ihan vitusti, Reaktiotasapaino pt 3!",4,82_3,Paljonko Reaktiotasapaino painaa?,82,OpenEnded
"Ihan vitusti, Reaktiotasapaino pt 4!",5,82_4,Montako Reaktiotasapaino saa markalla?,82,OpenEnded
"Ihan vitusti, Le Châtelier’n periaate (konsentraatio, paine, lämpötila) pt 0!",1,83_0,"Le Châtelier’n periaate (konsentraatio, paine, lämpötila) on...",83,flashcard
"Ihan vitusti, Le Châtelier’n periaate (konsentraatio, paine, lämpötila) pt 1!",2,83_1,"Le Châtelier’n periaate (konsentraatio, paine, lämpötila) ei ole...",83,flashcard
"Ihan vitusti, Le Châtelier’n periaate (konsentraatio, paine, lämpötila) pt 2!",3,83_2,"Le Châtelier’n periaate (konsentraatio, paine, lämpötila) kaltainen on",83,flashcard
"Ihan vitusti, Le Châtelier’n periaate (konsentraatio, paine, lämpötila) pt 3!",4,83_3,"Paljonko Le Châtelier’n periaate (konsentraatio, paine, lämpötila) painaa?",83,OpenEnded
"Ihan vitusti, Le Châtelier’n periaate (konsentraatio, paine, lämpötila) pt 4!",5,83_4,"Montako Le Châtelier’n periaate (konsentraatio, paine, lämpötila) saa markalla?",83,OpenEnded
"Ihan vitusti, Hapot ja emäkset (kertaus) pt 0!",1,84_0,Hapot ja emäkset (kertaus) on...,84,flashcard
"Ihan vitusti, Hapot ja emäkset (kertaus) pt 1!",2,84_1,Hapot ja emäkset (kertaus) ei ole...,84,flashcard
"Ihan vitusti, Hapot ja emäkset (kertaus) pt 2!",3,84_2,Hapot ja emäkset (kertaus) kaltainen on,84,flashcard
"Ihan vitusti, Hapot ja emäkset (kertaus) pt 3!",4,84_3,Paljonko Hapot ja emäkset (kertaus) painaa?,84,OpenEnded
"Ihan vitusti, Hapot ja emäkset (kertaus) pt 4!",5,84_4,Montako Hapot ja emäkset (kertaus) saa markalla?,84,OpenEnded
"Ihan vitusti, Heikot emäkset ja neutraloituminen pt 0!",1,85_0,Heikot emäkset ja neutraloituminen on...,85,flashcard
"Ihan vitusti, Heikot emäkset ja neutraloituminen pt 1!",2,85_1,Heikot emäkset ja neutraloituminen ei ole...,85,flashcard
"Ihan vitusti, Heikot emäkset ja neutraloituminen pt 2!",3,85_2,Heikot emäkset ja neutraloituminen kaltainen on,85,flashcard
"Ihan vitusti, Heikot emäkset ja neutraloituminen pt 3!",4,85_3,Paljonko Heikot emäkset ja neutraloituminen painaa?,85,OpenEnded
"Ihan vitusti, Heikot emäkset ja neutraloituminen pt 4!",5,85_4,Montako Heikot emäkset ja neutraloituminen saa markalla?,85,OpenEnded
"Ihan vitusti, Happo- ja emäsvakiot pt 0!",1,86_0,Happo- ja emäsvakiot on...,86,flashcard
"Ihan vitusti, Happo- ja emäsvakiot pt 1!",2,86_1,Happo- ja emäsvakiot ei ole...,86,flashcard
"Ihan vitusti, Happo- ja emäsvakiot pt 2!",3,86_2,Happo- ja emäsvakiot kaltainen on,86,flashcard
"Ihan vitusti, Happo- ja emäsvakiot pt 3!",4,86_3,Paljonko Happo- ja emäsvakiot painaa?,86,OpenEnded
"Ihan vitusti, Happo- ja emäsvakiot pt 4!",5,86_4,Montako Happo- ja emäsvakiot saa markalla?,86,OpenEnded
"Ihan vitusti, Veden ionitulo pt 0!",1,87_0,Veden ionitulo on...,87,flashcard
"Ihan vitusti, Veden ionitulo pt 1!",2,87_1,Veden ionitulo ei ole...,87,flashcard
"Ihan vitusti, Veden ionitulo pt 2!",3,87_2,Veden ionitulo kaltainen on,87,flashcard
"Ihan vitusti, Veden ionitulo pt 3!",4,87_3,Paljonko Veden ionitulo painaa?,87,OpenEnded
"Ihan vitusti, Veden ionitulo pt 4!",5,87_4,Montako Veden ionitulo saa markalla?,87,OpenEnded
"Ihan vitusti, pH (eli happamuus) pt 0!",1,88_0,pH (eli happamuus) on...,88,flashcard
"Ihan vitusti, pH (eli happamuus) pt 1!",2,88_1,pH (eli happamuus) ei ole...,88,flashcard
"Ihan vitusti, pH (eli happamuus) pt 2!",3,88_2,pH (eli happamuus) kaltainen on,88,flashcard
"Ihan vitusti, pH (eli happamuus) pt 3!",4,88_3,Paljonko pH (eli happamuus) painaa?,88,OpenEnded
"Ihan vitusti, pH (eli happamuus) pt 4!",5,88_4,Montako pH (eli happamuus) saa markalla?,88,OpenEnded
"Ihan vitusti, pH ja pOH pt 0!",1,89_0,pH ja pOH on...,89,flashcard
"Ihan vitusti, pH ja pOH pt 1!",2,89_1,pH ja pOH ei ole...,89,flashcard
"Ihan vitusti, pH ja pOH pt 2!",3,89_2,pH ja pOH kaltainen on,89,flashcard
"Ihan vitusti, pH ja pOH pt 3!",4,89_3,Paljonko pH ja pOH painaa?,89,OpenEnded
"Ihan vitusti, pH ja pOH pt 4!",5,89_4,Montako pH ja pOH saa markalla?,89,OpenEnded
"Ihan vitusti, Vakioiden välinen yhteys pt 0!",1,90_0,Vakioiden välinen yhteys on...,90,flashcard
"Ihan vitusti, Vakioiden välinen yhteys pt 1!",2,90_1,Vakioiden välinen yhteys ei ole...,90,flashcard
"Ihan vitusti, Vakioiden välinen yhteys pt 2!",3,90_2,Vakioiden välinen yhteys kaltainen on,90,flashcard
"Ihan vitusti, Vakioiden välinen yhteys pt 3!",4,90_3,Paljonko Vakioiden välinen yhteys painaa?,90,OpenEnded
"Ihan vitusti, Vakioiden välinen yhteys pt 4!",5,90_4,Montako Vakioiden välinen yhteys saa markalla?,90,OpenEnded
"Ihan vitusti, Moniarvoiset hapot pt 0!",1,91_0,Moniarvoiset hapot on...,91,flashcard
"Ihan vitusti, Moniarvoiset hapot pt 1!",2,91_1,Moniarvoiset hapot ei ole...,91,flashcard
"Ihan vitusti, Moniarvoiset hapot pt 2!",3,91_2,Moniarvoiset hapot kaltainen on,91,flashcard
"Ihan vitusti, Moniarvoiset hapot pt 3!",4,91_3,Paljonko Moniarvoiset hapot painaa?,91,OpenEnded
"Ihan vitusti, Moniarvoiset hapot pt 4!",5,91_4,Montako Moniarvoiset hapot saa markalla?,91,OpenEnded
"Ihan vitusti, Happodemonstraatioita pt 0!",1,92_0,Happodemonstraatioita on...,92,flashcard
"Ihan vitusti, Happodemonstraatioita pt 1!",2,92_1,Happodemonstraatioita ei ole...,92,flashcard
"Ihan vitusti, Happodemonstraatioita pt 2!",3,92_2,Happodemonstraatioita kaltainen on,92,flashcard
"Ihan vitusti, Happodemonstraatioita pt 3!",4,92_3,Paljonko Happodemonstraatioita painaa?,92,OpenEnded
"Ihan vitusti, Happodemonstraatioita pt 4!",5,92_4,Montako Happodemonstraatioita saa markalla?,92,OpenEnded
"Ihan vitusti, Titraus pt 0!",1,93_0,Titraus on...,93,flashcard
"Ihan vitusti, Titraus pt 1!",2,93_1,Titraus ei ole...,93,flashcard
"Ihan vitusti, Titraus pt 2!",3,93_2,Titraus kaltainen on,93,flashcard
"Ihan vitusti, Titraus pt 3!",4,93_3,Paljonko Titraus painaa?,93,OpenEnded
"Ihan vitusti, Titraus pt 4!",5,93_4,Montako Titraus saa markalla?,93,OpenEnded
"Ihan vitusti, Liukoisuustulo pt 0!",1,94_0,Liukoisuustulo on...,94,flashcard
"Ihan vitusti, Liukoisuustulo pt 1!",2,94_1,Liukoisuustulo ei ole...,94,flashcard
"Ihan vitusti, Liukoisuustulo pt 2!",3,94_2,Liukoisuustulo kaltainen on,94,flashcard
"Ihan vitusti, Liukoisuustulo pt 3!",4,94_3,Paljonko Liukoisuustulo painaa?,94,OpenEnded
"Ihan vitusti, Liukoisuustulo pt 4!",5,94_4,Montako Liukoisuustulo saa markalla?,94,OpenEnded
"Ihan vitusti, Ionitulo pt 0!",1,95_0,Ionitulo on...,95,flashcard
"Ihan vitusti, Ionitulo pt 1!",2,95_1,Ionitulo ei ole...,95,flashcard
"Ihan vitusti, Ionitulo pt 2!",3,95_2,Ionitulo kaltainen on,95,flashcard
